id,title,lead,source,link,image,authors,about
11,"Zaginęła dwójka nastolatków. Pilny apel policji, trwają poszukiwania Kingi i Kacpra","Na Dolnym Śląsku zaginęła 15-letnia Kinga Pławna i 16-letni Kacper Pławny. Policjanci z Bielawy prowadzą poszukiwania za nastolatkami i publikują ich wizerunek oraz szczegółowe dane. Służby proszą o pomoc tych, którzy mogą mieć w tej sprawie jakiekolwiek informacje.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginela-dwojka-nastolatkow-pilny-apel-policji-trwaja-poszukiwania-kingi-i-kacpra,https://s.eurozet.pl/cbz/2026/01/25/6bdb2e91/866976-1920x1080-877f535049.jpg,https://wiadomosci.radiozet.pl/Redakcja/bartlomiej-binas#person,"Dolny Śląsk, Poszukiwanie, Zaginiecie, Zaginieni, policja"
12,"Zaginięcie Jowity Zielińskiej. Mieszkanka Lisin zniknęła przed rokiem. ""Koszmar""","Mija rok od zaginięcia Jowity Zielińskiej z Lisin (woj. kujawsko-pomorskie). 30-letnia wówczas kobieta podczas powrotu z pracy do domu przepadła bez śladu. Intensywne poszukiwania nie pozwoliły jednak odpowiedzieć na pytanie, co się z nią stało. Rodzina zaginionej wciąż nie traci nadziei. ",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginiecie-jowity-zielinskiej-mieszkanka-lisin-zniknela-przed-rokiem-koszmar,https://s.eurozet.pl/cbz/2026/01/25/7f107951/863221-1920x1080-f71c5cce11.png,https://wiadomosci.radiozet.pl/Redakcja/lukasz-buczkowski#person,"Poszukiwanie, Zaginiecie, article, kujawsko-pomorskie, policja"
13,"Zaginięcie Jowity Zielińskiej. Nowe informacje. Policja: ""Nie możemy wykluczyć""",Jowita Zielińska zaginęła na początku lipca ubiegłego roku. Okoliczności zniknięcia 31-latki wciąż pozostają tajemnicą. Mimo intensywnych poszukiwań kobiety do dziś nie udało się odnaleźć. Po 11 miesiącach sprawą zajmie się specjalny wydział policji.,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginiecie-jowity-zielinskiej-nowe-informacje-policja-nie-mozemy-wykluczyc,https://s.eurozet.pl/cbz/2026/01/25/aaa435f0/876776-1920x1080-8f77b164fb.png,https://wiadomosci.radiozet.pl/Redakcja/lukasz-buczkowski#person,"Poszukiwanie, Zaginiecie, article, kujawsko-pomorskie, policja"
14,Marlena zaginęła w walentynki. Jej siostra przekazała nowe informacje,"Już od kilku dni trwają poszukiwania Marleny Suchodolskiej, która 14 lutego wyszła ze swojego domu w Płotach i do tej pory nie wróciła. Kobieta cierpi na rzadką chorobę neurodegeneracyjną - zespół Huntingtona. Teraz najnowszymi informacjami w sprawie zaginionej podzieliła się jej siostra.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/marlena-suchodolska-zaginela-w-plotach-sa-nowe-informacje-tropy-prowadzily,https://s.eurozet.pl/cbz/2026/01/27/a10ff2d2/934961-1920x1080-082f96fd69.jpg,https://wiadomosci.radiozet.pl/Redakcja/maksym-daniszewski#person,"Pomorze Zachodnie, Zachodniopomorskie, Zaginiecie, Zaginieni, article, policja"
15,Marlena zaginęła w walentynki. Szuka jej cała Polska,"Wciąż trwają poszukiwania Marleny Suchodolskiej, która w walentynki 14 lutego opuściła swój dom w Płotach. Kobieta cierpi na rzadką chorobę - zespół Huntingtona, która może powodować m.in. zaburzenia pamięci. Do poszukiwań zaginionej włączyli się internauci z całej Polski.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/marlena-suchodolska-zaginela-w-plotach-kobiety-szuka-cala-polska,https://s.eurozet.pl/cbz/2026/01/27/8764f08c/935591-1920x1080-ed799346c5.jpg,https://wiadomosci.radiozet.pl/Redakcja/maksym-daniszewski#person,"Poszukiwana, Poszukiwanie, Zachodniopomorskie, Zaginieni, article, policja"
16,Zaginęła pandka ruda. Zoo w Poznaniu prosi o pomoc,"W poznańskim zoo zaginęła pandka ruda. „Prowadzimy intensywne poszukiwania” – piszą przedstawiciele ogrodu zoologicznego. I instruują, co zrobić, gdy spotkamy zwierzę.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginela-pandka-ruda-zoo-w-poznaniu-prosi-o-pomoc,https://s.eurozet.pl/cbz/2026/01/27/7800398a/931616-1920x1080-9325a1386e.png,https://wiadomosci.radiozet.pl/Redakcja/karolina-apiecionek#person,"Poznań, Zoo, Zwierzęta, article"
17,Oliwia wyszła do szkoły i już nie wróciła. Pilny apel policji ws. 16-latki,"Policjanci z Komendy Powiatowej Policji w Szczytnie poszukują Oliwii Tarasewicz. 16-latka nie wróciła ze szkoły, do której wybrała się w piątek 11 października. Wtedy widziano ją po raz ostatni - później ślad po dziewczynie się urwał.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/oliwia-tarasewicz-zaginela-nie-wrocila-ze-szkoly-pilny-apel-ws-16-latki,https://s.eurozet.pl/cbz/2026/01/28/005bbb86/998426-1920x1080-de68d8b6b4.jpg,https://wiadomosci.radiozet.pl/Redakcja/bartlomiej-chudy#person,"Poszukiwanie, Szczytno, Zaginiecie, Zaginieni, article, policja, warmińsko-mazurskie"
18,16-letnia Amelia wsiadła do pociągu. Ślad po niej zaginął,Amelia Mocydlarz z Krynicy-Zdroju zaginęła. Nastolatka jechała pociągiem do Poznania i przepadła bez śladu. Teraz szuka jej policja.,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/news-amelia-mocydlarz-zaginela-16-latka-wsiadla-do-pociagu,https://s.eurozet.pl/cbz/2026/01/29/213428b9/1029741-1920x1080-582a1b6969.jpg,https://wiadomosci.radiozet.pl/Redakcja/milosz-balcerzak#person,"Poznań, Wielkopolska, Zaginiecie, Śmierć"
19,"15-letnia Jagoda zniknęła bez śladu. ""Co tu się dzieje?""","Trwają pilne poszukiwania 15-letniej Jagody Ś. Nastolatka po raz ostatni była widziana wieczorem 30 czerwca. Od tej pory nie nawiązała kontaktu z bliskimi. Jagoda mieszka w Świdnicy, ale niewykluczone, że przebywa obecnie na terenie Wrocławia. Zrozpaczona rodzina prosi o pomoc. Z kolei internauci są mocno zaniepokojeni: ""Co tu się dzieje? Pełno takich zgłoszeń ostatnio. Skąd tak duża liczba zaginięć?"" - napisała jedna z komentujących osób. ",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/wroclaw/news-jagoda-s-zaginela-15-latka-ze-swidnicy-moze-przebywac-we-wroclawiu,https://s.eurozet.pl/cbz/2026/01/29/1f949e27/1040396-1920x1080-a34b98b23a.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Swidnica, Wrocław, Zaginiecie, Zaginieni, Zaginione dziecko, article, dolnośląskie"
20,"Zaginął 10-letni Fabian. ""Nie dotarł do szkoły"". Pilny apel policji","W środę Komenda Powiatowa Policji w Gryficach poinformowała o zaginięciu 10-letniego Fabiana Zielińskiego. Chłopiec wyszedł rano z domu, ale nie dotarł do szkoły. Funkcjonariusze proszą o pomoc wszelkie osoby, które mają jakiekolwiek informacje o zaginionym dziecku.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginal-10-letni-fabian-zielinski-nie-dotarl-do-szkoly-pilny-apel-policji,https://s.eurozet.pl/cbz/2026/04/01/0a9a4550/1872625-1920x1080-0d826490ca.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Zaginiecie, Zaginione dziecko, article, dziecko, policja"
21,"Tajemnicze zaginięcie we Wrocławiu. ""Wylądował na lotnisku i kontakt się urwał""",Komenda Powiatowa Policji w Zgorzelcu podała szczegóły dotyczące tajemniczego zaginięcia Andrzeja Jankowskiego. Mężczyzna wracał z Anglii. Po wylądowaniu na lotnisku we Wrocławiu ślad po nim zaginął.,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/wroclaw/andrzej-jankowski-zaginal-we-wroclawiu-wyladowal-na-lotnisku-i-zniknal,https://s.eurozet.pl/cbz/2026/03/20/8625d7c0/1846656-1920x1080-f7b6331a67.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Poszukiwanie, Wrocław, Zaginiecie, Zaginieni, article, dolnośląskie, policja"
22,"Tragiczny finał poszukiwań młodego mężczyzny, który zaginął w Tatrach","W niedzielę po południu służby odnalazły ciało poszukiwanego turysty, który wyruszył samotnie na Orlą Perć, uważaną za najtrudniejszy szlak w polskich Tatrach. Akcję prowadzili ratownicy TOPR oraz policja.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polityka/tragiczny-final-poszukiwan-mlodego-mezczyzny-ktory-zaginal-w-tatrach,https://s.eurozet.pl/cbz/2026/01/30/bb7d97ec/1094906-1920x1080-688ec9a126.jpg,https://wiadomosci.radiozet.pl/Redakcja/bartlomiej-binas#person,"Góry, TOPR, Tatry, Zaginiecie, article, Śmierć"
23,"Młody mężczyzna zaginął w Tatrach, pilne komunikaty. Szedł na Orlą Perć ","W Tatrach trwają poszukiwania młodego mężczyzny, który w sobotę wyruszył na Orlą Perć, uważaną za najtrudniejszy szlak w polskich Tatrach. Akcję prowadzą ratownicy TOPR oraz policja. Ostatni kontakt z poszukiwanym miał miejsce w sobotę około godz. 14.00. Mężczyzna ma charakterystyczny czerwony kask oraz niebieski plecak. ",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/mlody-mezczyzna-zaginal-w-tatrach-pilne-komunikaty-szedl-na-orla-perc,https://s.eurozet.pl/cbz/2026/01/30/7ad4ad82/1083886-1920x1080-0e3b80284a.jpg,https://wiadomosci.radiozet.pl/Redakcja/Igor-Maj#person,"Akcja ratunkowa, Góry, TOPR, Tatry, Zaginieni, article"
24,"Tajemnicze zaginięcie 20-letniego Mateusza. ""Miał spędzić noc we Wrocławiu""",Trwają poszukiwania 20-letniego Mateusza Staworzyńskiego. Mężczyzna od 13 lutego nie kontaktuje się z bliskimi ani nie powrócił do miejsca zamieszkania. Miał spędzić noc we Wrocławiu. ,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/wroclaw/20-letni-mateusz-staworzynski-zaginal-mial-spedzic-noc-we-wroclawiu,https://gfx.wiadomosci.radiozet.pl/var/g3-radiozetwiadomosci/storage/images/wroclaw/20-letni-mateusz-staworzynski-zaginal-mial-spedzic-noc-we-wroclawiu/37528546-1-pol-PL/Tajemnicze-zaginiecie-20-letniego-Mateusza.-Mial-spedzic-noc-we-Wroclawiu_full-hd.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Wrocław, Zaginiecie, Zaginieni, article, dolnośląskie"
25,"Myśleli, że zaginął podczas wojny. Skarb był ukryty na widoku. ""Nikt nie wiedział""","Gotycki pozłacany kielich liturgiczny, jeden z trzech, które zaginęły w czasie II wojny światowej z Bazyliki Konkatedralnej Wniebowzięcia Najświętszej Maryi Panny w Kołobrzegu, został odnaleziony. 1 marca wróci do świątyni, a wcześniej będzie prezentowany w Muzeum Miasta Kołobrzeg.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/mysleli-ze-zaginal-podczas-wojny-skarb-byl-ukryty-na-widoku-nikt-nie-wiedzial,https://gfx.wiadomosci.radiozet.pl/var/g3-radiozetwiadomosci/storage/images/polska/mysleli-ze-zaginal-podczas-wojny-skarb-byl-ukryty-na-widoku-nikt-nie-wiedzial/38199953-1-pol-PL/Mysleli-ze-zaginal-podczas-wojny.-Skarb-byl-ukryty-na-widoku.-Nikt-nie-wiedzial_full-hd.jpg,https://wiadomosci.radiozet.pl/Redakcja/magdalena-barszczak#person,"Kołobrzeg, Kościół, Skarb, Zabytki, Zachodniopomorskie"
26,W Kambodży zaginął polski historyk. Rodzina apeluje o pomoc ,"W Kambodży zaginął Adam Mielcarek, 59-letni polski historyk. Od ponad tygodnia nie ma z nim kontaktu, a ostatni sygnał z jego telefonu odnotowano w centrum Phnom Penh, stolicy kraju. Rodzina oraz służby apelują o pomoc w poszukiwaniach.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/w-kambodzy-zaginal-polski-historyk-rodzina-apeluje-o-pomoc,https://s.eurozet.pl/cbz/2026/01/23/65d6caca/760446-1920x1080-67cd7f09ef.jpg,https://wiadomosci.radiozet.pl/Redakcja/karol-platek#person,"Azja, Fundacja Itaka, Interpol, Kambodza, Polacy, Zaginiecie, Zaginieni, article"
27,"Tajemnicze zaginięcie 28-latka. ""Powiedział, że wybiera się na ryby""","Komenda Miejska Policji w Jeleniej Górze apeluje o pomoc w poszukiwaniach zaginionego 28-latka. Kamil Kaczmarski ostatni raz widziany był 24 stycznia. Powiedział znajomemu, że idzie na ryby. Nagle kontakt z 28-latkiem się urwał.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/28-letni-kamil-kaczmarski-zaginal-powiedzial-ze-wybiera-sie-na-ryby,https://s.eurozet.pl/cbz/2026/01/23/f0e4ef60/758896-1920x1080-68222718e7.jpg,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Zaginiecie, Zaginieni, article, dolnośląskie, policja"
28,Zaginął 25-letni Bartosz Kobielski. Policja apeluje o pomoc,"Trwają poszukiwania 25-letniego Bartosza Kobielskiego, który zaginął po wyjeździe ze Szczytnicy z kierowcą aplikacji BlaBlaCar. Mężczyzna 23 listopada miał jechać do pracy w Niemczech, lecz od momentu wejścia do samochodu nie skontaktował się z bliskimi, a jego telefon jest nieaktywny. Policja w Bolesławcu prowadzi poszukiwania we współpracy z niemieckimi służbami.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginal-25-letni-bartosz-kobielski-policja-apeluje-o-pomoc,https://s.eurozet.pl/cbz/2026/01/23/113ff5f9/786686-1920x1080-d52fc7278f.jpg,https://wiadomosci.radiozet.pl/Redakcja/karol-platek#person,"Niemcy, Poszukiwanie, Zaginiecie, Zaginieni, article, policja, służby"
29,"Polak zaginął we Włoszech. Trwają poszukiwania, właśnie odnaleziono jego psa","Od końca listopada trwają poszukiwania Karola Brożka, który zaginął w Włoszech. 44-letniemu Polakowi w wyprawie towarzyszyły dwa psy. Jak podają włoskie media, jeden z nich został właśnie odnaleziony",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/swiat/polak-zaginal-we-wloszech-trwaja-poszukiwania-wlasnie-odnaleziono-jego-psa,https://s.eurozet.pl/cbz/2026/01/23/80231e8b/779731-1920x1080-fe7cdc8d2f.jpg,https://wiadomosci.radiozet.pl/Redakcja/mikolaj-pietraszewski#person,"Góry, Pies, Polacy, Poszukiwanie, Włochy, Zaginieni, article"
30,Poszukiwania Polaka we Włoszech. Zaginął w górach,"Od ponad tygodnia trwają poszukiwania 44-letniego Polaka, zaginionego we włoskiej Abruzji w masywie Gran Sasso - podała w środę agencja Ansa. Polskie służby konsularne w Rzymie przekazały PAP, że są w stałym kontakcie z lokalnymi władzami i służbami.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/swiat/poszukiwania-polaka-we-wloszech-zaginal-w-gorach,https://s.eurozet.pl/cbz/2026/01/23/73417c8f/784681-1920x1080-80d8dcfda0.jpg,https://wiadomosci.radiozet.pl/Redakcja/laura-mlodochowska#person,"Poszukiwanie, Włochy, Zaginiecie, policja"
31,17-letni Kamil zaginął w Legnicy. Policja publikuje ważny apel,Komenda Miejska Policji w Legnicy poinformowała o zaginięciu 17-latka. Kamil Czeszejko-Sochacki po raz ostatni widziany był w Legnicy. Od kilku dni nie kontaktuje się z rodziną. Nie wrócił także do domu.,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/legnica-zaginal-17-letni-kamil-czeszejko-sochacki-wazny-apel-policji,https://s.eurozet.pl/cbz/2026/01/23/b9119a33/776781-1920x1080-2b308d82a2.png,https://wiadomosci.radiozet.pl/Redakcja/wiktoria-szydlo#person,"Dolny Śląsk, Zaginiecie, Zaginieni, Zaginione dziecko, article, dolnośląskie, policja"
32, 31-letni Igor Holewiński zaginął na Maderze. Pilny apel rodziny,"31-letni polski turysta zaginął w czasie wędrówki po północnej części Madery. Rodzina mężczyzny prosi o kontakt wszystkie osoby, które mogły go widzieć - podaje Times of Madeira.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/swiat/31-letni-igor-holewinski-zaginal-na-maderze-pilny-apel-rodziny,https://s.eurozet.pl/cbz/2026/01/24/a5a7f8a3/797441-1920x1080-9a7855b844.jpg,https://wiadomosci.radiozet.pl/Redakcja/laura-mlodochowska#person,"Poszukiwanie, Zaginiecie, article"
33,Igor Holewiński zaginął na Maderze. Trwają poszukiwania 31-letniego Polaka,Portugalskie służby policyjne prowadzą od poniedziałku zakrojone na szeroką skalę poszukiwania 31-letniego Polaka - Igora Holewińskiego. Pochodzący z Poznania turysta zaginął w niedzielne popołudnie w północnej części atlantyckiej wyspy. Od kilku dni nie ma z nim kontaktu. ,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/swiat/igor-holewinski-zaginal-na-maderze-trwaja-poszukiwania-31-letniego-polaka,https://s.eurozet.pl/cbz/2026/01/24/b397e7ca/795321-1920x1080-b987d2e97e.jpg,https://wiadomosci.radiozet.pl/Redakcja/mikolaj-pietraszewski#person,"Polacy, Portugalia, Poznań, Wyspa, Zaginiecie, Zaginieni, article, policja"
34,Jakub nie wrócił do domu. Trwają pilne poszukiwania nastolatka z Bydgoszczy,"Jakub Nurczyński zaginął w Bydgoszczy. Trwają poszukiwania nastolatka, który nie wrócił do domu. Rodzina nie ma z nim kontaktu. Bydgoskie Centrum Zarządzania Kryzysowego wydało komunikat.",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/bydgoszcz/jakub-nurczynski-zaginal-w-bydgoszczy-trwaja-pilne-poszukiwania-nastolatka,https://s.eurozet.pl/cbz/2026/01/24/35fc9864/793626-1920x1080-752797828c.jpg,https://wiadomosci.radiozet.pl/Redakcja/lukasz-buczkowski#person,"Bydgoszcz, Poszukiwanie, Zaginiecie, article, policja"
35,"Zaginął 23-letni Kamil Wenta. Wyszedł z mieszkania znajomych i przepadł, policja prosi o pomoc",Policja i bliscy poszukują 23-letniego Kamila Wenty. Chłopak w niedzielę w nocy wyszedł z mieszkania znajomych przy ul. Pomorskiej w Gdańsku i zaginął. Od tamtej pory nie ma z nim żadnego kontaktu.,Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginal-23-letni-kamil-wenta-wyszedl-z-mieszkania-znajomych-i-przepadl-policja-prosi-o-pomoc,https://s.eurozet.pl/cbz/2026/01/24/d34a503a/803121-1920x1080-d595671e08.jpg,https://wiadomosci.radiozet.pl/Redakcja/bartlomiej-binas#person,"Gdańsk, Poszukiwanie, Zaginiecie, Zaginieni, article, policja"
36,Zaginął sprzęt o wartości 850 tys. zł. Policja szuka tego mężczyzny ,"Policjanci z Katowic prowadzą śledztwo w sprawie przywłaszczenia 216 telewizorów o łącznej wartości blisko 850 tys. zł. Sprzęt zaginął blisko 3 lata temu, a do dzisiaj nie udało się znaleźć osoby, która mogła go przywłaszczyć. W sprawie poszukiwany jest kierowca, który zajmował się transportem towaru. ",Eurozet. Sp. z o.o.,https://wiadomosci.radiozet.pl/polska/zaginal-sprzet-o-wartosci-850-tys-zl-policja-szuka-tego-mezczyzny,https://s.eurozet.pl/cbz/2026/01/24/52a6bfd7/819281-1920x1080-0c78998310.jpg,https://wiadomosci.radiozet.pl/Redakcja/laura-mlodochowska#person,"Katowice, Kradziez, Poszukiwanie, policja"
